priority,opportunity_score,infra_fit,buying_intent,timing,company_name,siren,naf,city,employees,sites,top_signal,calculated_at
WARM,75.2,55.0,88.0,82.0,{'est': ['Eesti Energia Aktsiaselts']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.863617+00:00
WARM,75.2,55.0,88.0,82.0,"{'swe': ['University of St Andrews'], 'hun': ['University of St Andrews'], 'lav': ['University of St Andrews'], 'gle': ['University of St Andrews'], 'ell': ['University of St Andrews'], 'spa': ['University of St Andrews'], 'nld': ['University of St Andrews'], 'est': ['University of St Andrews'], 'fin': ['University of St Andrews'], 'pol': ['University of St Andrews'], 'hrv': ['University of St Andrews'], 'dan': ['University of St Andrews'], 'ces': ['University of St Andrews'], 'ron': ['University of St Andrews'], 'por': ['University of St Andrews'], 'slk': ['University of St Andrews'], 'mlt': ['University of St Andrews'], 'fra': ['University of St Andrews'], 'deu': ['University of St Andrews'], 'lit': ['University of St Andrews'], 'ita': ['University of St Andrews'], 'bul': ['University of St Andrews'], 'slv': ['University of St Andrews'], 'eng': ['University of St Andrews']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.874375+00:00
WARM,75.2,55.0,88.0,82.0,{'ces': ['Západočeská univerzita v Plzni']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.882794+00:00
WARM,75.2,55.0,88.0,82.0,{'deu': ['Deutsche Rentenversicherung Bund Zentraler Einkauf']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.888464+00:00
WARM,75.2,55.0,88.0,82.0,{'hun': ['Magyar Nemzeti Bank']},,,,,,Serveurs / Compute,2026-09-09T19:47:01.897431+00:00
WARM,75.2,55.0,88.0,82.0,{'eng': ['The Office of Government Procurement']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.897936+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Uniwersytet im. Adama Mickiewicza']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.847236+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Uniwersytet im. Adama Mickiewicza w Poznaniu']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.848802+00:00
WARM,70.8,55.0,78.0,82.0,{'fra': ['Centre hospitalier Charles Perrens']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.849344+00:00
WARM,70.8,55.0,78.0,82.0,"{'hun': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'lav': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'swe': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'gle': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'ell': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'spa': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'est': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'nld': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'fin': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'pol': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'hrv': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'ron': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'ces': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'dan': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'por': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'slk': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'mlt': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'fra': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'deu': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'lit': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'ita': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'bul': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'slv': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii'], 'eng': ['Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.853599+00:00
WARM,70.8,55.0,78.0,82.0,"{'hun': ['Stadt Weiden in der Oberpfalz'], 'lav': ['Stadt Weiden in der Oberpfalz'], 'swe': ['Stadt Weiden in der Oberpfalz'], 'gle': ['Stadt Weiden in der Oberpfalz'], 'ell': ['Stadt Weiden in der Oberpfalz'], 'spa': ['Stadt Weiden in der Oberpfalz'], 'nld': ['Stadt Weiden in der Oberpfalz'], 'est': ['Stadt Weiden in der Oberpfalz'], 'fin': ['Stadt Weiden in der Oberpfalz'], 'pol': ['Stadt Weiden in der Oberpfalz'], 'hrv': ['Stadt Weiden in der Oberpfalz'], 'ron': ['Stadt Weiden in der Oberpfalz'], 'ces': ['Stadt Weiden in der Oberpfalz'], 'dan': ['Stadt Weiden in der Oberpfalz'], 'por': ['Stadt Weiden in der Oberpfalz'], 'slk': ['Stadt Weiden in der Oberpfalz'], 'mlt': ['Stadt Weiden in der Oberpfalz'], 'fra': ['Stadt Weiden in der Oberpfalz'], 'deu': ['Stadt Weiden in der Oberpfalz'], 'lit': ['Stadt Weiden in der Oberpfalz'], 'ita': ['Stadt Weiden in der Oberpfalz'], 'bul': ['Stadt Weiden in der Oberpfalz'], 'slv': ['Stadt Weiden in der Oberpfalz'], 'eng': ['Stadt Weiden in der Oberpfalz']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.856875+00:00
WARM,70.8,55.0,78.0,82.0,"{'hun': ['Städtisches Klinikum Braunschweig GmbH'], 'swe': ['Städtisches Klinikum Braunschweig GmbH'], 'lav': ['Städtisches Klinikum Braunschweig GmbH'], 'gle': ['Städtisches Klinikum Braunschweig GmbH'], 'ell': ['Städtisches Klinikum Braunschweig GmbH'], 'spa': ['Städtisches Klinikum Braunschweig GmbH'], 'nld': ['Städtisches Klinikum Braunschweig GmbH'], 'est': ['Städtisches Klinikum Braunschweig GmbH'], 'fin': ['Städtisches Klinikum Braunschweig GmbH'], 'pol': ['Städtisches Klinikum Braunschweig GmbH'], 'hrv': ['Städtisches Klinikum Braunschweig GmbH'], 'ces': ['Städtisches Klinikum Braunschweig GmbH'], 'dan': ['Städtisches Klinikum Braunschweig GmbH'], 'ron': ['Städtisches Klinikum Braunschweig GmbH'], 'por': ['Städtisches Klinikum Braunschweig GmbH'], 'slk': ['Städtisches Klinikum Braunschweig GmbH'], 'fra': ['Städtisches Klinikum Braunschweig GmbH'], 'mlt': ['Städtisches Klinikum Braunschweig GmbH'], 'deu': ['Städtisches Klinikum Braunschweig GmbH'], 'lit': ['Städtisches Klinikum Braunschweig GmbH'], 'ita': ['Städtisches Klinikum Braunschweig GmbH'], 'bul': ['Städtisches Klinikum Braunschweig GmbH'], 'slv': ['Städtisches Klinikum Braunschweig GmbH'], 'eng': ['Städtisches Klinikum Braunschweig GmbH']}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.857431+00:00
WARM,70.8,55.0,78.0,82.0,{'lit': ['Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.857957+00:00
WARM,70.8,55.0,78.0,82.0,{'deu': ['Bundesrepublik Deutschland – Finanzagentur GmbH']},,,,,,Stockage / Backup,2026-09-09T19:47:01.860672+00:00
WARM,70.8,55.0,78.0,82.0,{'fra': ['Centre hospitalier universitaire et psychiatrique de Mons-Borinage (CHUPMB)']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.861220+00:00
WARM,70.8,55.0,78.0,82.0,"{'pol': ['Skarb Państwa Państwowe Gospodarstwo Leśne Lasy Państwowe, Regionalna Dyrekcja Lasów Państwowych w Szczecinku']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.863076+00:00
WARM,70.8,55.0,78.0,82.0,"{'deu': ['Bau- und Verkehrsdepartement des Kantons Basel-Stadt, Kantonale Fachstelle für öffentliche Beschaffungen']}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.864659+00:00
WARM,70.8,55.0,78.0,82.0,"{'fra': [""Régie municipale d'électricité de Loos""]}",,,,,,Serveurs / Compute,2026-09-09T19:47:01.866221+00:00
WARM,70.8,55.0,78.0,82.0,"{'deu': ['Stadt Leipzig, Hauptamt, Einkauf / Vergabe']}",,,,,,Stockage / Backup,2026-09-09T19:47:01.866731+00:00
WARM,70.8,55.0,78.0,82.0,{'pol': ['Przedsiębiorstwo Usług Komunalnych Starkom Spółka z o.o.']},,,,,,Reseau Datacenter,2026-09-09T19:47:01.868266+00:00
WARM,70.8,55.0,78.0,82.0,{'fin': ['IS-Hankinta Oy']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.868784+00:00
WARM,70.8,55.0,78.0,82.0,{'dan': ['Rigspolitiet']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.869292+00:00
WARM,70.8,55.0,78.0,82.0,{'fra': ['Commune de Chaville']},,,,,,GPU / HPC / IA,2026-09-09T19:47:01.869796+00:00
WARM,70.8,55.0,78.0,82.0,{'deu': ['Landesbetrieb Daten und Information']},,,,,,Stockage / Backup,2026-09-09T19:47:01.870304+00:00
WARM,70.8,55.0,78.0,82.0,"{'lav': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'hun': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'swe': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'gle': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'ell': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'spa': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'est': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'nld': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'fin': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'pol': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'hrv': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'ron': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'ces': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'dan': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'por': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'slk': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'mlt': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'fra': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'deu': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'lit': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'ita': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'bul': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'slv': ['Istituto Poligrafico e Zecca dello Stato SpA'], 'eng': ['Istituto Poligrafico e Zecca dello Stato SpA']}",,,,,,GPU / HPC / IA,2026-09-09T19:47:01.873355+00:00
